User,Search Term,Tweet Text,Created on,Compound,Positive,Negative,Neutral,Timestamps
AUgwueme1,@BBC,RT @IpobosisiomaLga: So you think that ipob will ever forget to remember Biafran falling Heroes massacred by the #British / #Nigerian Army…,2020-05-22 09:06:41,0.2023,0.128,0.136,0.736,1590138401
govindcbr30,@BBC,"RT @Dr_S_Baudh: Hey world Countries

Please see whats Trends in India at No. 2

#बौद्धस्थल_अयोध्या

This is the truth of Indian History💙💕…",2020-05-22 09:06:39,0.5574,0.161,0.0,0.839,1590138399
AdamWilliamsUK,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:38,0.5994,0.17,0.0,0.83,1590138398
Keogg_Dawg,@BBC,@GlassAnimals @BBC @jbirchphoto we stan the dungarees,2020-05-22 09:06:38,0.0,0.0,0.0,1.0,1590138398
midbummar,@BBC,@GlassAnimals @BBC @jbirchphoto LOVE U,2020-05-22 09:06:38,0.7125,0.552,0.0,0.448,1590138398
pbtribe,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:36,0.5994,0.17,0.0,0.83,1590138396
vikas5_singh,@BBC,@BBCsarika @BBC मोहतरमा हम उस कालखंड में है जहां कोई दवा बना लेने का और कोई वैक्सीन  बना लेने का दावा रोज करता है इसी में तत्व भी है और पैसा भी,2020-05-22 09:06:35,0.0,0.0,0.0,1.0,1590138395
acousticxlly,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:31,0.5994,0.17,0.0,0.83,1590138391
javed_node,@BBC,@BBCsarika @BBC Very good work 👌,2020-05-22 09:06:30,0.8621,0.706,0.0,0.294,1590138390
tedgerine,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:27,0.5994,0.17,0.0,0.83,1590138387
ventpp,@BBC,RT @LondonCalling82: @SocialM85897394 The media's relentless PC/Woke campaign and propaganda is driving otherwise moderate people undergrou…,2020-05-22 09:06:27,-0.2023,0.07,0.116,0.814,1590138387
midbummar,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:26,0.5994,0.17,0.0,0.83,1590138386
ogili_harrison,@BBC,"RT @IpobosisiomaLga: Where is #YemiOsibanjo the Official Vice president of Nigeria from #OduduwaNation?
@nassnigeria 
@NGRSenate 
@APCNiger…",2020-05-22 09:06:24,0.0,0.0,0.0,1.0,1590138384
chinitoss_,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:06:23,0.5994,0.17,0.0,0.83,1590138383
MrsNickyClark,@BBC,"So please @BBC tell us they’ll be more. This is the lockdown content we all need right now. 59,000 views in one day alone. Huge congratulations &amp; here’s to “going forward” #W1A  @hughbon @MonicaDolan @Jason__Watkins @DrSarahParish #DavidWesthead 
https://t.co/paDFClrHbS",2020-05-22 09:06:18,0.7778,0.196,0.045,0.759,1590138378
useransar,@BBC,"RT @BBCsarika: कोविड-19: बांग्लादेश की बड़ी कामयाबी, तैयार की लोकल रेमडेसिवीर https://t.co/bkmtqQfr3e via @BBC",2020-05-22 09:06:16,0.0,0.0,0.0,1.0,1590138376
GlassAnimals,@BBC,"the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC. 💜

Photography: Jonathan Birch @jbirchphoto 

#artistsinlockdown 

https://t.co/oB3kaZy10H https://t.co/6bv301CxeK",2020-05-22 09:06:11,0.5994,0.136,0.0,0.864,1590138371
DrSarwar_,@BBC,"@BBCsarika @BBC Finally some good news is coming.
Hope it control the virus",2020-05-22 09:06:02,0.7003,0.345,0.0,0.655,1590138362
fulelo,@BBC,"RT @BBC: For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",2020-05-22 09:05:39,0.4019,0.137,0.0,0.863,1590138339
fulelo,@BBC,"RT @BBC: ‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.

#MentalHealth @BBC_Teac…",2020-05-22 09:05:34,0.1779,0.177,0.152,0.671,1590138334
jonthemusic,@BBC,"@davidro51445822 @corporal_frank @BBC Really miss #ThisWeek, one of the best programmes.",2020-05-22 09:05:33,0.5118,0.278,0.125,0.596,1590138333
flowergirl_lon,@BBC,"RT @JohnWildy71: From a selfish point of view, this is encouraging news for people on lemtrada, our lymphocytes are checked monthly😏 @TLCTr…",2020-05-22 09:05:33,0.0772,0.119,0.109,0.772,1590138333
Saurav37313816,@BBC,@BBCsarika @BBC Kash Bharat me bhi kuch aisa dekhne ko mil jata too maan ko badi khushi milti 🙁🙁,2020-05-22 09:05:06,-0.4963,0.0,0.161,0.839,1590138306
RastamanInc,@BBC,RT @12thplanet: UK homies!  I did a Quest Mix for @aanightingale over @BBC Radio 1 earlier this week!  https://t.co/RlNL0TQnQy,2020-05-22 09:04:58,0.0,0.0,0.0,1.0,1590138298
JenFullick,@BBC,@dazdrewett @Iromg Bit like the copies of the Epilogue the @BBC used to distribute. One to every single employee above the level of bin emptier,2020-05-22 09:04:57,0.2023,0.092,0.062,0.846,1590138297
chiugo22cc,@BBC,"RT @IpobosisiomaLga: Where is #YemiOsibanjo the Official Vice president of Nigeria from #OduduwaNation?
@nassnigeria 
@NGRSenate 
@APCNiger…",2020-05-22 09:04:45,0.0,0.0,0.0,1.0,1590138285
AUgwueme1,@BBC,"RT @IpobosisiomaLga: Am asking the idiots with Fake accounts, I mean #Yoruba's with Igbo and Biafran Names on Facebook &amp; twitter written ag…",2020-05-22 09:04:44,-0.4767,0.0,0.124,0.876,1590138284
01shikhar,@BBC,"RT @BBCsarika: कोविड-19: बांग्लादेश की बड़ी कामयाबी, तैयार की लोकल रेमडेसिवीर https://t.co/bkmtqQfr3e via @BBC",2020-05-22 09:04:42,0.0,0.0,0.0,1.0,1590138282
DawgAlfie,@BBC,"RT @YardleyShooting: On a daily basis, the biased @BBC helps their boy ""Sir Keir"" Starmer score points over Boris. They always use his titl…",2020-05-22 09:04:31,0.128,0.097,0.079,0.824,1590138271
Hillary16216274,@BBC,"RT @IpobosisiomaLga: Stop dreaming!, #IPOB will never relent,all of you Yoruba media on Twitter and Facebook bearing Igbo Names,
how do you…",2020-05-22 09:04:21,-0.3595,0.0,0.106,0.894,1590138261
BobMoor33020935,@BBC,RT @tj1969t: French navy escorting illegal immigrants into British waters. Typically @BBCNews decides to CENSOR these events ..............…,2020-05-22 09:04:10,-0.8091,0.0,0.314,0.686,1590138250
sanjaypandeyji,@BBC,@BBCsarika @BBC अच्छी उपलब्धि।,2020-05-22 09:03:56,0.0,0.0,0.0,1.0,1590138236
DrSarwar_,@BBC,@BBCsarika @BBC Some doctors in Bangladesh has claimed that combination of ivermectin + doxycycline has cured 60 out of 60 Covid-19 patients on which it was used.,2020-05-22 09:03:48,0.0,0.0,0.0,1.0,1590138228
SikhYourMind,@BBC,RT @SCUKofficial: We cannot engage with any faith 'taskforce' until the Government engages with recognised National sikh institutions. Gurd…,2020-05-22 09:03:46,0.4145,0.21,0.089,0.701,1590138226
